"Freq [GHz]","dB(St(coax_pin_T1,coax_pin_T1)) []"
1,-0.0577630582180086
1.05,-0.0587542447516714
1.1,-0.0598329609180574
1.15,-0.0610188636442518
1.2,-0.0623332112025037
1.25,-0.0637997464127327
1.3,-0.0654457404796426
1.35,-0.0673032909767626
1.4,-0.0694109997222136
1.45,-0.0718162083005471
1.5,-0.0745780516953945
1.55,-0.0777717225806624
1.6,-0.0814945531124828
1.65,-0.0858748755362877
1.7,-0.0910852241899655
1.75,-0.0973624903838413
1.8,-0.105039530682558
1.85,-0.114596256916116
1.9,-0.126745100487446
1.95,-0.142579743546358
2,-0.163846159355291
2.05,-0.19346419435099
2.1,-0.236599114856439
2.15,-0.303046165057858
2.2,-0.413093247194493
2.25,-0.613887508615055
2.3,-1.03325901110225
2.35,-2.09391650656594
2.4,-5.33223731431257
2.45,-11.5180751567801
2.5,-4.61046184214021
2.55,-2.08543879192502
2.6,-1.20732967841889
2.65,-0.823951441589764
2.7,-0.62816906444586
2.75,-0.517623024516622
2.8,-0.451333960075011
2.85,-0.4104977782038
2.9,-0.385561044506235
2.95,-0.371282450031966
3,-0.3646150723016
