"Freq [GHz]","dB(St(coax_pin_T1,coax_pin_T1)) []"
1,-0.0572500429550995
1.05,-0.0583136508946679
1.1,-0.0594790460942977
1.15,-0.0607681428193729
1.2,-0.0622050990766931
1.25,-0.063817367282103
1.3,-0.0656369684606145
1.35,-0.0677021085737744
1.4,-0.0700593001988004
1.45,-0.0727662241750772
1.5,-0.0758956793712988
1.55,-0.0795411511539137
1.6,-0.0838248273703894
1.65,-0.0889093893097327
1.7,-0.09501576109442
1.75,-0.102450515225797
1.8,-0.111649403739837
1.85,-0.123248758329747
1.9,-0.138206992716496
1.95,-0.158020401671875
2,-0.185126262082561
2.05,-0.223702695226823
2.1,-0.281377330846645
2.15,-0.373229812624355
2.2,-0.532345246649724
2.25,-0.842338715651122
2.3,-1.56023835899545
2.35,-3.6560682018592
2.4,-8.43763765791101
2.45,-10.4444952911337
2.5,-4.24785134369751
2.55,-2.04370843348709
2.6,-1.22941168139837
2.65,-0.858584663916798
2.7,-0.66341924567848
2.75,-0.550701077757277
2.8,-0.481869085592727
2.85,-0.438775272069972
2.9,-0.412013494649626
2.95,-0.396339786133531
3,-0.388665590632473
